Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary,
17;2018;1529;Allen, Josh;QB;buf;h;mia;41.46;7700
17;2018;1501;Prescott, Dak;QB;dal;a;nyg;33.48;7300
17;2018;1465;Winston, Jameis;QB;tam;h;atl;31.1;7600
17;2018;1301;Ryan, Matt;QB;atl;a;tam;29.82;8500
17;2018;1527;Jackson, Lamar;QB;bal;h;cle;26.16;7700
17;2018;1131;Brady, Tom;QB;nwe;h;nyj;26;7600
17;2018;1536;Allen, Kyle;QB;car;a;nor;25.02;6000
17;2018;1409;Luck, Andrew;QB;ind;a;ten;24.1;0
17;2018;1528;Mayfield, Baker;QB;cle;a;bal;24.04;7300
17;2018;1490;Goff, Jared;QB;lar;h;sfo;23.96;7800
17;2018;1534;Mullens, Nick;QB;sfo;a;lar;22.08;6700
17;2018;1518;Watson, Deshaun;QB;hou;h;jac;21.96;8200
17;2018;1225;Manning, Eli;QB;nyg;h;dal;19.24;6500
17;2018;1340;Stafford, Matthew;QB;det;a;gnb;18.44;6500
17;2018;1523;Mahomes II, Patrick;QB;kan;h;oak;18.34;9500
17;2018;1413;Foles, Nick;QB;phi;a;was;16.24;7600
17;2018;1232;Roethlisberger, Ben;QB;pit;h;cin;14.78;8700
17;2018;1435;Keenum, Case;QB;den;h;lac;13.48;7000
17;2018;1519;Trubisky, Mitchell;QB;chi;a;min;10.12;7600
17;2018;1415;Cousins, Kirk;QB;min;h;chi;9.98;7400
17;2018;1410;Tannehill, Ryan;QB;mia;a;buf;9.58;6800
17;2018;1231;Rivers, Philip;QB;lac;a;den;9.04;8000
17;2018;1439;Bridgewater, Teddy;QB;nor;h;car;8.92;7300
17;2018;1412;Wilson, Russell;QB;sea;h;ari;8.88;8300
17;2018;1381;Gabbert, Blaine;QB;ten;h;ind;8.6;0
17;2018;1517;Kizer, DeShone;QB;gnb;h;det;8.28;6000
17;2018;1530;Hill, Taysom;QB;nor;h;car;7.9;6000
17;2018;1524;Darnold, Sam;QB;nyj;a;nwe;7.48;7500
17;2018;1525;Rosen, Josh;QB;ari;a;sea;5.96;6300
17;2018;1494;Driskel, Jeff;QB;cin;a;pit;5.1;6600
17;2018;1442;Bortles, Blake;QB;jac;a;hou;4.78;6000
17;2018;1507;Sudfeld, Nate;QB;phi;a;was;4.68;6000
17;2018;1441;Carr, Derek;QB;oak;a;kan;3.4;6800
17;2018;1320;Johnson, Josh;QB;was;h;phi;3.04;6500
17;2018;1446;Gilbert, Garrett;QB;car;a;nor;1.6;0
17;2018;1309;Henne, Chad;QB;kan;h;oak;1.46;6000
17;2018;1252;Rodgers, Aaron;QB;gnb;h;det;1.04;8400
17;2018;1484;Mannion, Sean;QB;lar;h;sfo;0.12;6000
17;2018;1535;Lauletta, Kyle;QB;nyg;h;dal;0;6000
17;2018;5071;Webb, Joe;QB;hou;h;jac;0;6000
17;2018;1336;Hoyer, Brian;QB;nwe;h;nyj;-0.3;6000
17;2018;1426;Smith, Geno;QB;lac;a;den;-2.2;6000
